[2026-04-22 15:18:53] session=20260422_151853 | status=simulado     | template=fallback             | nome=dani                           | documento=2               | telefone=551910728906    | delay=0.0s | erro=modo simulação
[2026-04-22 15:18:53] session=20260422_151853 | status=simulado     | template=teste                | nome=lucas                          | documento=1               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:18:53] session=20260422_151853 | status=simulado     | template=teste                | nome=lucas                          | documento=3               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:18:53] session=20260422_151853 | status=simulado     | template=teste                | nome=dani                           | documento=4               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:18:53] session=20260422_151853 | status=simulado     | template=fallback             | nome=lucas                          | documento=5               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:21:40] session=20260422_151957 | status=erro         | template=fallback             | nome=dani                           | documento=2               | telefone=551910728906    | delay=0.0s | erro=O número +55 19 1072-8906 não está no WhatsApp.
[2026-04-22 15:23:10] session=20260422_152152 | status=erro         | template=fallback             | nome=dani                           | documento=2               | telefone=551910728906    | delay=0.0s | erro=O número +55 19 1072-8906 não está no WhatsApp.
[2026-04-22 15:24:02] session=20260422_152152 | status=enviado      | template=teste                | nome=lucas                          | documento=1               | telefone=5511910728906   | delay=28.7s | erro=
[2026-04-22 15:25:35] session=20260422_152152 | status=erro         | template=teste                | nome=lucas                          | documento=3               | telefone=5511910728906   | delay=40.1s | erro=Mensagem não confirmada visualmente para 5511910728906.
[2026-04-22 15:26:51] session=20260422_152152 | status=enviado      | template=teste                | nome=dani                           | documento=4               | telefone=5511910728906   | delay=32.3s | erro=
[2026-04-22 15:27:54] session=20260422_152152 | status=enviado      | template=fallback             | nome=lucas                          | documento=5               | telefone=5511910728906   | delay=35.5s | erro=
[2026-04-22 15:33:28] session=20260422_153328 | status=simulado     | template=fallback             | nome=lucas                          | documento=1               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:33:28] session=20260422_153328 | status=simulado     | template=fallback             | nome=dani                           | documento=2               | telefone=551910728906    | delay=0.0s | erro=modo simulação
[2026-04-22 15:33:28] session=20260422_153328 | status=simulado     | template=teste                | nome=lucas                          | documento=3               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:33:28] session=20260422_153328 | status=simulado     | template=fallback             | nome=dani                           | documento=4               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:33:29] session=20260422_153328 | status=simulado     | template=teste                | nome=lucas                          | documento=5               | telefone=5511910728906   | delay=0.0s | erro=modo simulação
[2026-04-22 15:34:12] session=20260422_153356 | status=erro         | template=fallback             | nome=lucas                          | documento=1               | telefone=5511910728906   | delay=0.0s | erro=Mensagem não confirmada visualmente para 5511910728906.
[2026-04-22 15:35:27] session=20260422_153356 | status=erro         | template=fallback             | nome=dani                           | documento=2               | telefone=551910728906    | delay=49.7s | erro=O número +55 19 1072-8906 não está no WhatsApp.
[2026-04-22 15:36:10] session=20260422_153356 | status=erro         | template=teste                | nome=lucas                          | documento=3               | telefone=5511910728906   | delay=27.4s | erro=Mensagem não confirmada visualmente para 5511910728906.
